zone_id,zone_name,jahr,monat,niederschlag_mm,temperatur_mittel_c
north_taiga,Север (тайга),1996,3,4.4,-8.7
north_taiga,Север (тайга),1996,4,88.7,-2.5
north_taiga,Север (тайга),1996,5,70.7,7.1
north_taiga,Север (тайга),1996,6,86.5,16.1
north_taiga,Север (тайга),1996,7,125.8,19.0
north_taiga,Север (тайга),1996,8,112.8,11.7
north_taiga,Север (тайга),1996,9,80.2,5.5
north_taiga,Север (тайга),1996,10,30.2,-0.3
north_taiga,Север (тайга),1997,3,22.2,-3.1
north_taiga,Север (тайга),1997,4,29.2,6.5
north_taiga,Север (тайга),1997,5,34.9,10.5
north_taiga,Север (тайга),1997,6,41.1,13.8
north_taiga,Север (тайга),1997,7,75.8,14.2
north_taiga,Север (тайга),1997,8,75.1,14.1
north_taiga,Север (тайга),1997,9,55.1,10.1
north_taiga,Север (тайга),1997,10,50.8,5.0
north_taiga,Север (тайга),1998,3,1.3,-7.6
north_taiga,Север (тайга),1998,4,73.4,-2.9
north_taiga,Север (тайга),1998,5,30.6,8.3
north_taiga,Север (тайга),1998,6,77.1,15.6
north_taiga,Север (тайга),1998,7,37.0,21.7
north_taiga,Север (тайга),1998,8,82.2,17.9
north_taiga,Север (тайга),1998,9,64.2,6.6
north_taiga,Север (тайга),1998,10,96.6,0.8
north_taiga,Север (тайга),1999,3,9.7,-14.2
north_taiga,Север (тайга),1999,4,41.5,-0.5
north_taiga,Север (тайга),1999,5,43.6,12.4
north_taiga,Север (тайга),1999,6,32.4,13.3
north_taiga,Север (тайга),1999,7,58.9,19.9
north_taiga,Север (тайга),1999,8,56.3,14.8
north_taiga,Север (тайга),1999,9,49.1,7.3
north_taiga,Север (тайга),1999,10,42.7,4.1
north_taiga,Север (тайга),2000,3,20.9,-5.1
north_taiga,Север (тайга),2000,4,16.0,3.3
north_taiga,Север (тайга),2000,5,64.6,9.6
north_taiga,Север (тайга),2000,6,60.0,17.6
north_taiga,Север (тайга),2000,7,70.1,17.6
north_taiga,Север (тайга),2000,8,96.7,15.1
north_taiga,Север (тайга),2000,9,47.8,8.2
north_taiga,Север (тайга),2000,10,24.5,-0.6
north_taiga,Север (тайга),2001,3,56.1,-5.4
north_taiga,Север (тайга),2001,4,12.8,1.3
north_taiga,Север (тайга),2001,5,57.6,13.0
north_taiga,Север (тайга),2001,6,137.0,14.7
north_taiga,Север (тайга),2001,7,89.7,15.0
north_taiga,Север (тайга),2001,8,110.2,15.5
north_taiga,Север (тайга),2001,9,49.0,9.8
north_taiga,Север (тайга),2001,10,56.4,-0.6
north_taiga,Север (тайга),2002,3,59.5,-4.1
north_taiga,Север (тайга),2002,4,3.5,-2.0
north_taiga,Север (тайга),2002,5,65.9,9.0
north_taiga,Север (тайга),2002,6,97.4,14.7
north_taiga,Север (тайга),2002,7,50.5,16.6
north_taiga,Север (тайга),2002,8,95.1,13.0
north_taiga,Север (тайга),2002,9,47.5,10.1
north_taiga,Север (тайга),2002,10,38.4,0.4
north_taiga,Север (тайга),2003,3,15.1,-7.5
north_taiga,Север (тайга),2003,4,20.7,0.5
north_taiga,Север (тайга),2003,5,23.8,12.4
north_taiga,Север (тайга),2003,6,68.5,17.0
north_taiga,Север (тайга),2003,7,85.7,16.6
north_taiga,Север (тайга),2003,8,31.4,18.8
north_taiga,Север (тайга),2003,9,25.7,10.5
north_taiga,Север (тайга),2003,10,54.8,2.6
north_taiga,Север (тайга),2004,3,27.8,-10.1
north_taiga,Север (тайга),2004,4,37.4,-1.8
north_taiga,Север (тайга),2004,5,47.8,13.0
north_taiga,Север (тайга),2004,6,77.6,17.7
north_taiga,Север (тайга),2004,7,32.8,18.7
north_taiga,Север (тайга),2004,8,52.7,14.2
north_taiga,Север (тайга),2004,9,100.7,7.9
north_taiga,Север (тайга),2004,10,103.0,1.4
north_taiga,Север (тайга),2005,3,36.6,-5.5
north_taiga,Север (тайга),2005,4,17.9,1.6
north_taiga,Север (тайга),2005,5,37.2,11.1
north_taiga,Север (тайга),2005,6,75.9,18.0
