zone_id,zone_name,jahr,vorsaison_letzter_frost,vorsaison_niederschlag_mm,letzter_fruehjahrsfrost_doy,erster_herbstfrost_doy,saison_gdd,saison_temperatur_mittel_c,saison_niederschlag_mm,saison_hitzetage,saison_laengste_trockenperiode_tage
north_taiga,Север (тайга),1996,1996-05-04,94.4,144,263,1103.9,11.9,476.0,0,10
north_taiga,Север (тайга),1997,1997-05-01,59.6,133,286,1168.8,12.5,282.0,0,11
north_taiga,Север (тайга),1998,1998-05-07,82.0,139,249,1469.7,14.1,291.1,3,15
north_taiga,Север (тайга),1999,1999-05-07,54.9,132,267,1338.9,13.6,240.3,0,11
north_taiga,Север (тайга),2000,2000-05-05,59.4,134,266,1359.9,13.6,339.2,1,9
north_taiga,Север (тайга),2001,2001-05-01,69.3,141,282,1329.5,13.6,443.5,1,9
north_taiga,Север (тайга),2002,2002-05-02,65.1,138,257,1194.3,12.7,356.4,0,9
north_taiga,Север (тайга),2003,2003-05-01,42.2,121,279,1549.8,15.1,235.1,1,16
north_taiga,Север (тайга),2004,2004-05-07,67.6,131,269,1460.2,14.3,311.6,3,12
north_taiga,Север (тайга),2005,2005-05-03,65.1,123,277,1478.2,14.6,321.9,0,13
north_taiga,Север (тайга),2006,2006-05-07,67.0,141,277,1376.9,13.8,345.1,2,10
north_taiga,Север (тайга),2007,2007-05-05,120.2,125,266,1321.6,13.6,407.4,1,12
north_taiga,Север (тайга),2008,2008-05-06,62.0,146,260,1345.2,13.6,278.4,0,15
north_taiga,Север (тайга),2009,2009-05-06,73.5,145,285,1341.5,13.6,339.5,2,15
north_taiga,Север (тайга),2010,2010-05-02,58.9,141,254,1266.5,13.1,255.2,1,9
north_taiga,Север (тайга),2011,2011-04-29,91.3,137,291,1339.3,13.7,260.5,0,20
north_taiga,Север (тайга),2012,2012-05-07,97.6,130,281,1634.0,15.6,300.6,7,11
north_taiga,Север (тайга),2013,2013-05-06,116.3,136,276,1252.5,13.1,267.9,0,11
north_taiga,Север (тайга),2014,2014-05-06,94.0,130,270,1205.7,12.7,367.2,0,19
north_taiga,Север (тайга),2015,2015-04-29,59.5,119,267,1316.0,13.5,379.4,0,8
north_taiga,Север (тайга),2016,2016-05-07,79.3,137,275,1648.7,15.6,254.2,0,16
north_taiga,Север (тайга),2017,2017-05-03,82.7,138,266,1341.3,13.6,312.9,1,9
north_taiga,Север (тайга),2018,2018-05-07,107.1,150,286,1245.7,12.9,401.6,0,9
north_taiga,Север (тайга),2019,2019-05-02,57.9,146,271,1372.7,13.8,365.6,0,15
north_taiga,Север (тайга),2020,2020-05-05,110.4,126,278,1606.6,15.5,353.1,9,17
north_taiga,Север (тайга),2021,2021-04-24,79.1,114,269,1497.1,14.7,333.3,5,13
north_taiga,Север (тайга),2022,2022-05-07,61.2,128,269,1445.1,14.3,348.7,0,14
north_taiga,Север (тайга),2023,2023-05-03,35.2,138,274,1583.4,15.3,364.7,12,24
north_taiga,Север (тайга),2024,2024-05-06,91.4,152,271,1378.8,13.8,373.2,2,14
north_taiga,Север (тайга),2025,2025-05-03,125.5,147,271,1546.7,15.0,291.9,2,10
north_foreststeppe,Северная лесостепь,1996,1996-05-04,65.0,148,263,1293.3,13.3,348.2,0,10
north_foreststeppe,Северная лесостепь,1997,1997-04-07,33.2,132,286,1361.7,13.9,264.2,0,11
north_foreststeppe,Северная лесостепь,1998,1998-05-05,49.6,139,265,1661.7,15.5,207.2,13,21
north_foreststeppe,Северная лесостепь,1999,1999-05-07,50.5,139,269,1556.0,15.1,139.5,3,16
north_foreststeppe,Северная лесостепь,2000,2000-05-05,54.8,134,266,1515.2,14.8,207.9,1,16
north_foreststeppe,Северная лесостепь,2001,2001-05-01,70.0,141,279,1492.3,14.7,286.4,1,10
north_foreststeppe,Северная лесостепь,2002,2002-05-02,42.1,137,279,1360.4,13.8,344.4,0,9
north_foreststeppe,Северная лесостепь,2003,2003-05-01,33.5,121,280,1638.7,15.7,270.3,0,13
north_foreststeppe,Северная лесостепь,2004,2004-05-06,74.8,131,269,1625.4,15.6,257.8,6,20
north_foreststeppe,Северная лесостепь,2005,2005-05-03,48.6,123,277,1595.5,15.4,312.4,1,11
north_foreststeppe,Северная лесостепь,2006,2006-05-07,44.1,141,270,1531.6,14.9,281.2,4,16
north_foreststeppe,Северная лесостепь,2007,2007-05-05,88.3,125,266,1496.4,14.8,382.3,1,10
north_foreststeppe,Северная лесостепь,2008,2008-05-05,38.7,126,273,1554.2,15.1,217.6,3,14
north_foreststeppe,Северная лесостепь,2009,2009-05-07,42.8,145,285,1454.6,14.4,304.2,3,17
north_foreststeppe,Северная лесостепь,2010,2010-04-23,38.5,141,254,1483.8,14.6,181.7,4,11
north_foreststeppe,Северная лесостепь,2011,2011-05-05,69.8,137,301,1484.1,14.7,241.8,0,22
north_foreststeppe,Северная лесостепь,2012,2012-05-07,72.2,130,292,1785.2,16.6,255.1,10,12
north_foreststeppe,Северная лесостепь,2013,2013-05-06,97.2,133,277,1377.7,14.0,220.5,0,16
north_foreststeppe,Северная лесостепь,2014,2014-04-29,48.2,119,270,1410.9,14.1,248.7,1,10
north_foreststeppe,Северная лесостепь,2015,2015-04-29,48.2,119,268,1502.7,14.8,288.9,1,16
north_foreststeppe,Северная лесостепь,2016,2016-05-03,67.3,138,276,1752.0,16.4,242.9,0,13
north_foreststeppe,Северная лесостепь,2017,2017-05-03,79.3,138,266,1551.0,15.0,242.1,2,9
north_foreststeppe,Северная лесостепь,2018,2018-05-07,93.1,139,286,1336.8,13.6,398.5,0,20
north_foreststeppe,Северная лесостепь,2019,2019-05-03,48.3,136,273,1488.8,14.6,259.8,0,13
north_foreststeppe,Северная лесостепь,2020,2020-04-16,76.7,107,278,1696.1,16.1,279.7,3,15
north_foreststeppe,Северная лесостепь,2021,2021-04-25,74.6,115,269,1646.7,15.7,227.9,9,15
north_foreststeppe,Северная лесостепь,2022,2022-05-04,53.7,128,271,1590.3,15.2,328.8,0,15
north_foreststeppe,Северная лесостепь,2023,2023-05-03,31.7,130,274,1704.1,16.1,281.6,10,24
north_foreststeppe,Северная лесостепь,2024,2024-05-06,55.3,152,270,1498.7,14.7,328.4,2,15
north_foreststeppe,Северная лесостепь,2025,2025-05-03,68.0,147,271,1659.3,15.8,410.2,4,28
south_foreststeppe,Южная лесостепь,1996,1996-05-04,62.8,125,269,1451.4,14.4,302.2,2,12
south_foreststeppe,Южная лесостепь,1997,1997-04-13,30.1,132,286,1541.8,15.1,252.0,5,10
south_foreststeppe,Южная лесостепь,1998,1998-05-05,40.8,141,272,1787.9,16.4,232.7,22,28
south_foreststeppe,Южная лесостепь,1999,1999-05-07,52.8,139,294,1684.9,16.0,177.0,11,13
south_foreststeppe,Южная лесостепь,2000,2000-05-05,44.8,134,267,1671.1,15.8,180.7,11,15
south_foreststeppe,Южная лесостепь,2001,2001-05-02,76.0,132,279,1653.2,15.8,266.8,4,10
south_foreststeppe,Южная лесостепь,2002,2002-05-02,61.9,137,282,1535.9,15.0,266.8,0,10
south_foreststeppe,Южная лесостепь,2003,2003-05-01,29.9,121,273,1783.5,16.6,264.2,3,20
south_foreststeppe,Южная лесостепь,2004,2004-05-01,85.7,131,272,1788.7,16.7,225.1,11,20
south_foreststeppe,Южная лесостепь,2005,2005-05-03,43.5,123,278,1724.1,16.3,298.7,3,11
south_foreststeppe,Южная лесостепь,2006,2006-05-07,53.8,141,277,1730.9,16.2,204.7,10,21
south_foreststeppe,Южная лесостепь,2007,2007-05-05,62.4,125,296,1682.1,16.0,336.0,4,13
south_foreststeppe,Южная лесостепь,2008,2008-05-05,46.0,126,273,1729.9,16.2,205.0,11,11
south_foreststeppe,Южная лесостепь,2009,2009-05-07,39.9,144,279,1566.9,15.2,309.3,6,20
south_foreststeppe,Южная лесостепь,2010,2010-04-17,44.5,141,255,1689.1,16.0,148.7,11,15
south_foreststeppe,Южная лесостепь,2011,2011-04-11,63.3,129,297,1667.8,15.9,197.6,1,12
south_foreststeppe,Южная лесостепь,2012,2012-05-07,54.6,130,292,1960.7,17.8,184.0,20,20
south_foreststeppe,Южная лесостепь,2013,2013-04-20,87.0,133,277,1493.4,14.8,303.2,0,18
south_foreststeppe,Южная лесостепь,2014,2014-04-29,40.9,119,272,1581.0,15.3,208.1,7,17
south_foreststeppe,Южная лесостепь,2015,2015-04-29,63.7,119,270,1611.2,15.5,289.6,2,16
south_foreststeppe,Южная лесостепь,2016,2016-05-04,61.8,138,276,1821.5,16.9,241.1,1,13
south_foreststeppe,Южная лесостепь,2017,2017-05-02,52.0,137,266,1686.4,15.9,258.6,4,10
south_foreststeppe,Южная лесостепь,2018,2018-05-07,69.3,148,286,1432.8,14.3,319.6,0,8
south_foreststeppe,Южная лесостепь,2019,2019-05-03,47.9,136,269,1616.9,15.5,250.2,4,15
south_foreststeppe,Южная лесостепь,2020,2020-04-16,67.6,107,271,1828.6,17.0,223.8,11,16
south_foreststeppe,Южная лесостепь,2021,2021-04-24,64.1,114,266,1816.2,16.8,207.4,20,28
south_foreststeppe,Южная лесостепь,2022,2022-05-04,33.3,124,271,1756.7,16.3,234.3,5,17
south_foreststeppe,Южная лесостепь,2023,2023-05-03,29.5,130,293,1792.1,16.7,267.8,12,10
south_foreststeppe,Южная лесостепь,2024,2024-05-06,75.6,127,270,1594.3,15.4,368.8,1,12
south_foreststeppe,Южная лесостепь,2025,2025-04-24,79.3,114,272,1792.8,16.7,312.4,5,15
steppe,Степь,1996,1996-05-03,64.9,124,275,1521.4,14.9,308.5,0,18
steppe,Степь,1997,1997-04-14,30.2,132,286,1692.2,16.0,181.7,6,14
steppe,Степь,1998,1998-05-04,44.7,139,271,1873.9,17.1,195.9,26,27
steppe,Степь,1999,1999-04-29,42.9,132,294,1783.2,16.6,177.4,16,17
steppe,Степь,2000,2000-05-05,40.2,126,267,1775.6,16.5,167.1,14,19
steppe,Степь,2001,2001-05-01,62.6,121,286,1752.3,16.5,240.2,5,10
steppe,Степь,2002,2002-05-02,68.7,136,282,1662.5,15.9,194.1,2,10
steppe,Степь,2003,2003-05-01,26.4,121,280,1852.9,17.1,289.1,3,16
steppe,Степь,2004,2004-05-01,88.8,129,289,1886.2,17.3,208.2,11,16
steppe,Степь,2005,2005-05-03,41.6,123,285,1809.0,16.8,235.8,10,15
steppe,Степь,2006,2006-05-07,58.0,127,278,1810.2,16.8,157.1,11,21
steppe,Степь,2007,2007-04-20,42.7,110,293,1821.2,16.9,214.1,10,25
steppe,Степь,2008,2008-05-05,48.1,126,273,1835.2,16.9,236.7,12,13
steppe,Степь,2009,2009-05-06,40.2,126,286,1649.3,15.8,259.7,6,11
steppe,Степь,2010,2010-04-17,50.2,141,278,1820.6,16.9,114.6,18,16
steppe,Степь,2011,2011-04-11,55.6,101,295,1758.8,16.5,222.7,4,23
